,FC,labels,setting
0,0.251178556,modT-2 trend,0.1
1,0.251178556,modT-2 trend,0.1
2,0.254609222,modT-2 trend,0.1
3,0.254385556,modT-2 trend,0.1
4,0.255443222,modT-2 trend,0.1
5,0.254618556,modT-2 trend,0.1
6,0.255268778,modT-2 trend,0.1
7,0.256733333,modT-2 trend,0.1
8,0.256451333,modT-2 trend,0.1
9,0.258088556,modT-2 trend,0.1
10,0.257959778,modT-2 trend,0.1
11,0.258117111,modT-2 trend,0.1
12,0.258117111,modT-2 trend,0.1
13,0.258117111,modT-2 trend,0.1
14,0.259026,modT-2 trend,0.1
15,0.258257556,modT-2 trend,0.1
16,0.259152222,modT-2 trend,0.1
17,0.257199778,modT-2 trend,0.1
18,0.257714889,modT-2 trend,0.1
19,0.257603,modT-2 trend,0.1
20,0.258628778,modT-2 trend,0.1
21,0.256231222,modT-2 trend,0.1
22,0.256601,modT-2 trend,0.1
23,0.257345444,modT-2 trend,0.1
24,0.256306222,modT-2 trend,0.1
25,0.256346111,modT-2 trend,0.1
26,0.255891667,modT-2 trend,0.1
27,0.255902222,modT-2 trend,0.1
28,0.255902222,modT-2 trend,0.1
29,0.256548,modT-2 trend,0.1
30,0.256779222,modT-2 trend,0.1
31,0.259176889,modT-2 trend,0.1
32,0.259176889,modT-2 trend,0.1
33,0.256010444,modT-2 trend,0.1
34,0.256786,modT-2 trend,0.1
35,0.257144111,modT-2 trend,0.1
36,0.256767111,modT-2 trend,0.1
37,0.258735889,modT-2 trend,0.1
38,0.258226667,modT-2 trend,0.1
39,0.258830556,modT-2 trend,0.1
40,0.259507667,modT-2 trend,0.1
41,0.259507667,modT-2 trend,0.1
42,0.256688222,modT-2 trend,0.1
43,0.254182333,modT-2 trend,0.1
44,0.254858556,modT-2 trend,0.1
45,0.255702889,modT-2 trend,0.1
46,0.257023556,modT-2 trend,0.1
47,0.255549778,modT-2 trend,0.1
48,0.254916556,modT-2 trend,0.1
49,0.256325,modT-2 trend,0.1
50,0.516253222,modT-2 trend,0.2
51,0.514504667,modT-2 trend,0.2
52,0.515544556,modT-2 trend,0.2
53,0.514953556,modT-2 trend,0.2
